date,station,boarding,alighting,total,day_of_week,is_weekend,is_holiday,month,year,covid_dummy
2018-02-07,강남,122977.0,121561.0,244538.0,2,0,0,2,2018,0
2018-02-07,잠실,90128.0,85571.0,175699.0,2,0,0,2,2018,0
2018-02-08,신도림,64763.0,63661.0,128424.0,3,0,0,2,2018,0
2018-02-08,홍대입구,77794.0,83113.0,160907.0,3,0,0,2,2018,0
2018-02-08,강남,122226.0,121312.0,243538.0,3,0,0,2,2018,0
2018-02-08,잠실,93263.0,87470.0,180733.0,3,0,0,2,2018,0
2018-02-09,신도림,67150.0,66660.0,133810.0,4,0,0,2,2018,0
2018-02-09,잠실,98572.0,92281.0,190853.0,4,0,0,2,2018,0
2018-02-09,강남,129261.0,133363.0,262624.0,4,0,0,2,2018,0
2018-02-09,홍대입구,85035.0,98554.0,183589.0,4,0,0,2,2018,0
2018-02-10,신도림,58108.0,58696.0,116804.0,5,1,0,2,2018,0
2018-02-10,홍대입구,99110.0,112373.0,211483.0,5,1,0,2,2018,0
2018-02-10,강남,95107.0,100037.0,195144.0,5,1,0,2,2018,0
2018-02-10,잠실,86108.0,80359.0,166467.0,5,1,0,2,2018,0
2018-02-11,잠실,62900.0,57592.0,120492.0,6,1,0,2,2018,0
2018-02-11,신도림,38627.0,38310.0,76937.0,6,1,0,2,2018,0
2018-02-11,강남,56538.0,54554.0,111092.0,6,1,0,2,2018,0
2018-02-11,홍대입구,77518.0,74614.0,152132.0,6,1,0,2,2018,0
2018-02-12,홍대입구,77694.0,80216.0,157910.0,0,0,0,2,2018,0
2018-02-12,잠실,93256.0,88853.0,182109.0,0,0,0,2,2018,0
2018-02-12,신도림,62895.0,61490.0,124385.0,0,0,0,2,2018,0
2018-02-12,강남,124090.0,122638.0,246728.0,0,0,0,2,2018,0
2018-02-13,강남,124346.0,124291.0,248637.0,1,0,0,2,2018,0
2018-02-13,잠실,95342.0,89966.0,185308.0,1,0,0,2,2018,0
2018-02-13,홍대입구,80059.0,83962.0,164021.0,1,0,0,2,2018,0
2018-02-13,신도림,65190.0,64414.0,129604.0,1,0,0,2,2018,0
2018-02-14,신도림,65065.0,64336.0,129401.0,2,0,0,2,2018,0
2018-02-14,홍대입구,80984.0,88255.0,169239.0,2,0,0,2,2018,0
2018-02-14,잠실,96368.0,90891.0,187259.0,2,0,0,2,2018,0
2018-02-14,강남,119442.0,120263.0,239705.0,2,0,0,2,2018,0
2018-02-15,신도림,25971.0,25129.0,51100.0,3,0,1,2,2018,0
2018-02-15,강남,37603.0,36546.0,74149.0,3,0,1,2,2018,0
2018-02-15,홍대입구,45509.0,45390.0,90899.0,3,0,1,2,2018,0
2018-02-15,잠실,44321.0,40435.0,84756.0,3,0,1,2,2018,0
2018-02-16,강남,18795.0,20434.0,39229.0,4,0,1,2,2018,0
2018-02-16,홍대입구,32624.0,39066.0,71690.0,4,0,1,2,2018,0
2018-02-16,신도림,19635.0,19673.0,39308.0,4,0,1,2,2018,0
2018-02-16,잠실,40291.0,37097.0,77388.0,4,0,1,2,2018,0
2018-02-17,강남,41702.0,45218.0,86920.0,5,1,1,2,2018,0
2018-02-17,홍대입구,65659.0,77660.0,143319.0,5,1,1,2,2018,0
2018-02-17,잠실,65368.0,60080.0,125448.0,5,1,1,2,2018,0
2018-02-17,신도림,30244.0,30950.0,61194.0,5,1,1,2,2018,0
2018-02-18,홍대입구,73654.0,76288.0,149942.0,6,1,0,2,2018,0
2018-02-18,신도림,34279.0,35511.0,69790.0,6,1,0,2,2018,0
2018-02-18,강남,46076.0,46889.0,92965.0,6,1,0,2,2018,0
2018-02-18,잠실,60878.0,57076.0,117954.0,6,1,0,2,2018,0
2018-02-19,강남,118355.0,117590.0,235945.0,0,0,0,2,2018,0
2018-02-19,신도림,61710.0,60368.0,122078.0,0,0,0,2,2018,0
2018-02-19,잠실,95600.0,90506.0,186106.0,0,0,0,2,2018,0
